SNR_Bob = 2 dB, SNR_Eve = 4 dB, phi = 0.2 | C_B1 = 26.05 Mbps | C_B2 = 10.70 Mbps | C_E = 20.01 Mbps | BER_B1 = 5.0140e-01 | BER_B2 = 5.0280e-01 | BER_E = 4.9730e-01 | R_s1 = 1.41 | R_s2 = 0.00 | SOP1 = 0.11 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.41e-07 | eta_s2 = 2.84e-11
SNR_Bob = 2 dB, SNR_Eve = 6 dB, phi = 0.2 | C_B1 = 25.93 Mbps | C_B2 = 10.68 Mbps | C_E = 19.96 Mbps | BER_B1 = 5.0460e-01 | BER_B2 = 4.8900e-01 | BER_E = 4.8960e-01 | R_s1 = 1.40 | R_s2 = 0.00 | SOP1 = 0.12 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.40e-07 | eta_s2 = 3.36e-11
SNR_Bob = 2 dB, SNR_Eve = 8 dB, phi = 0.2 | C_B1 = 25.70 Mbps | C_B2 = 10.69 Mbps | C_E = 20.00 Mbps | BER_B1 = 4.9350e-01 | BER_B2 = 4.9970e-01 | BER_E = 4.9710e-01 | R_s1 = 1.37 | R_s2 = 0.00 | SOP1 = 0.13 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.37e-07 | eta_s2 = 2.41e-11
SNR_Bob = 2 dB, SNR_Eve = 10 dB, phi = 0.2 | C_B1 = 25.39 Mbps | C_B2 = 10.65 Mbps | C_E = 19.99 Mbps | BER_B1 = 5.0130e-01 | BER_B2 = 4.9740e-01 | BER_E = 4.9850e-01 | R_s1 = 1.34 | R_s2 = 0.00 | SOP1 = 0.15 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.34e-07 | eta_s2 = 2.57e-11
SNR_Bob = 2 dB, SNR_Eve = 12 dB, phi = 0.2 | C_B1 = 24.87 Mbps | C_B2 = 10.58 Mbps | C_E = 20.04 Mbps | BER_B1 = 5.0240e-01 | BER_B2 = 5.0010e-01 | BER_E = 4.9670e-01 | R_s1 = 1.29 | R_s2 = 0.00 | SOP1 = 0.20 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.29e-07 | eta_s2 = 3.57e-11
SNR_Bob = 2 dB, SNR_Eve = 14 dB, phi = 0.2 | C_B1 = 24.10 Mbps | C_B2 = 10.56 Mbps | C_E = 19.98 Mbps | BER_B1 = 4.9780e-01 | BER_B2 = 4.9530e-01 | BER_E = 4.9410e-01 | R_s1 = 1.21 | R_s2 = 0.00 | SOP1 = 0.27 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.21e-07 | eta_s2 = 2.31e-11
SNR_Bob = 2 dB, SNR_Eve = 16 dB, phi = 0.2 | C_B1 = 23.05 Mbps | C_B2 = 10.50 Mbps | C_E = 19.99 Mbps | BER_B1 = 4.9790e-01 | BER_B2 = 5.0240e-01 | BER_E = 4.9760e-01 | R_s1 = 1.11 | R_s2 = 0.00 | SOP1 = 0.36 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.11e-07 | eta_s2 = 1.94e-11
SNR_Bob = 2 dB, SNR_Eve = 18 dB, phi = 0.2 | C_B1 = 21.51 Mbps | C_B2 = 10.34 Mbps | C_E = 20.00 Mbps | BER_B1 = 4.9710e-01 | BER_B2 = 5.0080e-01 | BER_E = 5.0140e-01 | R_s1 = 0.95 | R_s2 = 0.00 | SOP1 = 0.55 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 9.54e-08 | eta_s2 = 1.09e-11
SNR_Bob = 2 dB, SNR_Eve = 20 dB, phi = 0.2 | C_B1 = 19.62 Mbps | C_B2 = 10.18 Mbps | C_E = 20.01 Mbps | BER_B1 = 4.9950e-01 | BER_B2 = 5.0610e-01 | BER_E = 5.0230e-01 | R_s1 = 0.76 | R_s2 = 0.00 | SOP1 = 0.76 | SOP2 = 1.00 | IP1 = 0.01 | IP2 = 1.00 | eta_s1 = 7.65e-08 | eta_s2 = 1.51e-11
SNR_Bob = 4 dB, SNR_Eve = 0 dB, phi = 0.2 | C_B1 = 31.04 Mbps | C_B2 = 14.49 Mbps | C_E = 25.23 Mbps | BER_B1 = 4.9680e-01 | BER_B2 = 5.0020e-01 | BER_E = 4.9530e-01 | R_s1 = 1.50 | R_s2 = 0.00 | SOP1 = 0.09 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.50e-07 | eta_s2 = 3.60e-11
SNR_Bob = 4 dB, SNR_Eve = 2 dB, phi = 0.2 | C_B1 = 30.93 Mbps | C_B2 = 14.52 Mbps | C_E = 25.16 Mbps | BER_B1 = 4.9310e-01 | BER_B2 = 4.9490e-01 | BER_E = 5.0310e-01 | R_s1 = 1.49 | R_s2 = 0.00 | SOP1 = 0.09 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.49e-07 | eta_s2 = 2.95e-11
SNR_Bob = 4 dB, SNR_Eve = 4 dB, phi = 0.2 | C_B1 = 30.88 Mbps | C_B2 = 14.45 Mbps | C_E = 25.19 Mbps | BER_B1 = 4.9270e-01 | BER_B2 = 5.0240e-01 | BER_E = 5.0460e-01 | R_s1 = 1.48 | R_s2 = 0.00 | SOP1 = 0.09 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.48e-07 | eta_s2 = 2.05e-11
SNR_Bob = 4 dB, SNR_Eve = 6 dB, phi = 0.2 | C_B1 = 30.76 Mbps | C_B2 = 14.49 Mbps | C_E = 25.17 Mbps | BER_B1 = 4.9960e-01 | BER_B2 = 5.0300e-01 | BER_E = 5.0730e-01 | R_s1 = 1.47 | R_s2 = 0.00 | SOP1 = 0.10 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.47e-07 | eta_s2 = 2.19e-11
SNR_Bob = 4 dB, SNR_Eve = 8 dB, phi = 0.2 | C_B1 = 30.56 Mbps | C_B2 = 14.49 Mbps | C_E = 25.20 Mbps | BER_B1 = 4.9510e-01 | BER_B2 = 4.9890e-01 | BER_E = 4.9830e-01 | R_s1 = 1.45 | R_s2 = 0.00 | SOP1 = 0.11 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.45e-07 | eta_s2 = 2.98e-11
SNR_Bob = 4 dB, SNR_Eve = 10 dB, phi = 0.2 | C_B1 = 30.21 Mbps | C_B2 = 14.50 Mbps | C_E = 25.16 Mbps | BER_B1 = 5.0340e-01 | BER_B2 = 4.9710e-01 | BER_E = 5.0500e-01 | R_s1 = 1.42 | R_s2 = 0.00 | SOP1 = 0.12 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.42e-07 | eta_s2 = 4.71e-11
SNR_Bob = 4 dB, SNR_Eve = 12 dB, phi = 0.2 | C_B1 = 29.64 Mbps | C_B2 = 14.42 Mbps | C_E = 25.23 Mbps | BER_B1 = 5.0070e-01 | BER_B2 = 4.9940e-01 | BER_E = 4.9300e-01 | R_s1 = 1.36 | R_s2 = 0.00 | SOP1 = 0.16 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.36e-07 | eta_s2 = 2.37e-11
SNR_Bob = 4 dB, SNR_Eve = 14 dB, phi = 0.2 | C_B1 = 28.96 Mbps | C_B2 = 14.40 Mbps | C_E = 25.21 Mbps | BER_B1 = 4.9490e-01 | BER_B2 = 5.1110e-01 | BER_E = 5.0300e-01 | R_s1 = 1.29 | R_s2 = 0.00 | SOP1 = 0.20 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.29e-07 | eta_s2 = 3.36e-11
SNR_Bob = 4 dB, SNR_Eve = 16 dB, phi = 0.2 | C_B1 = 27.87 Mbps | C_B2 = 14.24 Mbps | C_E = 25.21 Mbps | BER_B1 = 5.0050e-01 | BER_B2 = 5.0230e-01 | BER_E = 5.0170e-01 | R_s1 = 1.18 | R_s2 = 0.00 | SOP1 = 0.31 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.18e-07 | eta_s2 = 1.47e-11
SNR_Bob = 4 dB, SNR_Eve = 18 dB, phi = 0.2 | C_B1 = 26.36 Mbps | C_B2 = 14.13 Mbps | C_E = 25.14 Mbps | BER_B1 = 4.9690e-01 | BER_B2 = 4.9900e-01 | BER_E = 5.0070e-01 | R_s1 = 1.04 | R_s2 = 0.00 | SOP1 = 0.46 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.04e-07 | eta_s2 = 2.21e-11
