===== KỊCH BẢN 2: Multi-user NOMA, quét SNR_Eve =====
SNR_Bob = 2 dB, SNR_Eve = 8 dB | alpha1 = 0.3499, alpha2 = 0.3501, phi = 0.3000 | C_B1 = 27.11 Mbps | C_B2 = 5.67 Mbps | C_E = 12.13 Mbps | R_s1 = 1.50 | R_s2 = 0.00 | SOP1 = 0.09 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.50e-07 | eta_s2 = 1.78e-11
SNR_Bob = 2 dB, SNR_Eve = 10 dB | alpha1 = 0.3499, alpha2 = 0.3501, phi = 0.3000 | C_B1 = 26.75 Mbps | C_B2 = 5.66 Mbps | C_E = 12.13 Mbps | R_s1 = 1.46 | R_s2 = 0.00 | SOP1 = 0.10 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.46e-07 | eta_s2 = 2.04e-11
SNR_Bob = 2 dB, SNR_Eve = 12 dB | alpha1 = 0.3503, alpha2 = 0.3497, phi = 0.3000 | C_B1 = 26.18 Mbps | C_B2 = 5.64 Mbps | C_E = 12.13 Mbps | R_s1 = 1.41 | R_s2 = 0.00 | SOP1 = 0.13 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.41e-07 | eta_s2 = 1.67e-11
SNR_Bob = 2 dB, SNR_Eve = 14 dB | alpha1 = 0.3502, alpha2 = 0.3498, phi = 0.3000 | C_B1 = 25.34 Mbps | C_B2 = 5.61 Mbps | C_E = 12.13 Mbps | R_s1 = 1.32 | R_s2 = 0.00 | SOP1 = 0.19 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.32e-07 | eta_s2 = 1.57e-11
SNR_Bob = 2 dB, SNR_Eve = 16 dB | alpha1 = 0.3498, alpha2 = 0.3502, phi = 0.3000 | C_B1 = 24.17 Mbps | C_B2 = 5.57 Mbps | C_E = 12.13 Mbps | R_s1 = 1.20 | R_s2 = 0.00 | SOP1 = 0.29 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.20e-07 | eta_s2 = 1.21e-11
SNR_Bob = 2 dB, SNR_Eve = 18 dB | alpha1 = 0.3502, alpha2 = 0.3498, phi = 0.3000 | C_B1 = 22.56 Mbps | C_B2 = 5.49 Mbps | C_E = 12.13 Mbps | R_s1 = 1.04 | R_s2 = 0.00 | SOP1 = 0.45 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.04e-07 | eta_s2 = 1.18e-11
SNR_Bob = 2 dB, SNR_Eve = 20 dB | alpha1 = 0.3500, alpha2 = 0.3500, phi = 0.3000 | C_B1 = 20.45 Mbps | C_B2 = 5.38 Mbps | C_E = 12.13 Mbps | R_s1 = 0.83 | R_s2 = 0.00 | SOP1 = 0.68 | SOP2 = 1.00 | IP1 = 0.01 | IP2 = 1.00 | eta_s1 = 8.33e-08 | eta_s2 = 9.23e-12
SNR_Bob = 4 dB, SNR_Eve = 0 dB | alpha1 = 0.3501, alpha2 = 0.3499, phi = 0.3000 | C_B1 = 33.28 Mbps | C_B2 = 8.19 Mbps | C_E = 16.25 Mbps | R_s1 = 1.70 | R_s2 = 0.00 | SOP1 = 0.04 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.70e-07 | eta_s2 = 2.36e-11
SNR_Bob = 4 dB, SNR_Eve = 2 dB | alpha1 = 0.3499, alpha2 = 0.3501, phi = 0.3000 | C_B1 = 33.22 Mbps | C_B2 = 8.19 Mbps | C_E = 16.25 Mbps | R_s1 = 1.70 | R_s2 = 0.00 | SOP1 = 0.04 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.70e-07 | eta_s2 = 2.11e-11
SNR_Bob = 4 dB, SNR_Eve = 4 dB | alpha1 = 0.3498, alpha2 = 0.3502, phi = 0.3000 | C_B1 = 33.10 Mbps | C_B2 = 8.18 Mbps | C_E = 16.23 Mbps | R_s1 = 1.69 | R_s2 = 0.00 | SOP1 = 0.04 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.69e-07 | eta_s2 = 2.27e-11
