
===== KỊCH BẢN 2: Multi-user NOMA, quét SNR_Eve (Eve chủ động gây nhiễu) =====
==== THÔNG SỐ HỆ THỐNG KỊCH BẢN 2 ====
Công suất truyền P_A: 1 W
Nhiễu nền N_0: 3.98e-17 W
Hệ số suy hao alpha: 3
Băng thông: 10.0 MHz
Khoảng cách: Bob1 = 50m, Bob2 = 100m, Eve = 70m
Phân bổ công suất: alpha1 = 0.111, alpha2 = 0.889 (tổng = 1.000)
Tỷ lệ lỗi SIC: epsilon = 0.001
============================

SNR_Bob = 10 dB, SNR_Eve = 18 dB | C_B1 = 8.98 Mbps | C_B2 = 9.25 Mbps | C_E = 17.22 Mbps | BER_B1 = 5.0630e-01 | BER_B2 = 5.0070e-01 | BER_E = 5.0320e-01 | R_s1 = 0.56 | R_s2 = 0.17 | SOP1 = 0.33 | SOP2 = 0.77 | IP1 = 0.27 | IP2 = 0.74
SNR_Bob = 10 dB, SNR_Eve = 20 dB | C_B1 = 8.92 Mbps | C_B2 = 9.21 Mbps | C_E = 17.27 Mbps | BER_B1 = 5.0160e-01 | BER_B2 = 4.8860e-01 | BER_E = 5.0470e-01 | R_s1 = 0.56 | R_s2 = 0.17 | SOP1 = 0.33 | SOP2 = 0.77 | IP1 = 0.28 | IP2 = 0.75
SNR_Bob = 12 dB, SNR_Eve = 0 dB | C_B1 = 12.17 Mbps | C_B2 = 12.42 Mbps | C_E = 21.90 Mbps | BER_B1 = 5.0530e-01 | BER_B2 = 5.0270e-01 | BER_E = 4.9950e-01 | R_s1 = 0.72 | R_s2 = 0.21 | SOP1 = 0.32 | SOP2 = 0.76 | IP1 = 0.27 | IP2 = 0.74
SNR_Bob = 12 dB, SNR_Eve = 2 dB | C_B1 = 12.27 Mbps | C_B2 = 12.37 Mbps | C_E = 21.66 Mbps | BER_B1 = 5.0080e-01 | BER_B2 = 5.0380e-01 | BER_E = 4.9330e-01 | R_s1 = 0.73 | R_s2 = 0.21 | SOP1 = 0.31 | SOP2 = 0.77 | IP1 = 0.27 | IP2 = 0.74
SNR_Bob = 12 dB, SNR_Eve = 4 dB | C_B1 = 12.08 Mbps | C_B2 = 12.39 Mbps | C_E = 21.86 Mbps | BER_B1 = 5.0450e-01 | BER_B2 = 4.9650e-01 | BER_E = 4.9620e-01 | R_s1 = 0.72 | R_s2 = 0.21 | SOP1 = 0.32 | SOP2 = 0.76 | IP1 = 0.27 | IP2 = 0.74
SNR_Bob = 12 dB, SNR_Eve = 6 dB | C_B1 = 12.30 Mbps | C_B2 = 12.32 Mbps | C_E = 21.82 Mbps | BER_B1 = 5.0270e-01 | BER_B2 = 5.0060e-01 | BER_E = 5.0370e-01 | R_s1 = 0.73 | R_s2 = 0.21 | SOP1 = 0.31 | SOP2 = 0.77 | IP1 = 0.27 | IP2 = 0.74
SNR_Bob = 12 dB, SNR_Eve = 8 dB | C_B1 = 12.06 Mbps | C_B2 = 12.37 Mbps | C_E = 21.72 Mbps | BER_B1 = 4.9820e-01 | BER_B2 = 5.0510e-01 | BER_E = 5.0610e-01 | R_s1 = 0.71 | R_s2 = 0.21 | SOP1 = 0.31 | SOP2 = 0.77 | IP1 = 0.27 | IP2 = 0.74
SNR_Bob = 12 dB, SNR_Eve = 10 dB | C_B1 = 12.15 Mbps | C_B2 = 12.38 Mbps | C_E = 21.82 Mbps | BER_B1 = 5.0130e-01 | BER_B2 = 4.9810e-01 | BER_E = 4.9130e-01 | R_s1 = 0.72 | R_s2 = 0.20 | SOP1 = 0.32 | SOP2 = 0.77 | IP1 = 0.28 | IP2 = 0.75
SNR_Bob = 12 dB, SNR_Eve = 12 dB | C_B1 = 12.14 Mbps | C_B2 = 12.25 Mbps | C_E = 21.83 Mbps | BER_B1 = 5.0470e-01 | BER_B2 = 5.0480e-01 | BER_E = 4.9170e-01 | R_s1 = 0.72 | R_s2 = 0.21 | SOP1 = 0.31 | SOP2 = 0.77 | IP1 = 0.27 | IP2 = 0.75
SNR_Bob = 12 dB, SNR_Eve = 14 dB | C_B1 = 12.14 Mbps | C_B2 = 12.27 Mbps | C_E = 21.77 Mbps | BER_B1 = 4.9190e-01 | BER_B2 = 4.9600e-01 | BER_E = 4.8990e-01 | R_s1 = 0.72 | R_s2 = 0.20 | SOP1 = 0.31 | SOP2 = 0.77 | IP1 = 0.27 | IP2 = 0.75
SNR_Bob = 12 dB, SNR_Eve = 16 dB | C_B1 = 11.99 Mbps | C_B2 = 12.41 Mbps | C_E = 21.66 Mbps | BER_B1 = 5.0010e-01 | BER_B2 = 5.0840e-01 | BER_E = 5.0020e-01 | R_s1 = 0.71 | R_s2 = 0.21 | SOP1 = 0.32 | SOP2 = 0.77 | IP1 = 0.27 | IP2 = 0.74
SNR_Bob = 12 dB, SNR_Eve = 18 dB | C_B1 = 11.93 Mbps | C_B2 = 12.32 Mbps | C_E = 21.70 Mbps | BER_B1 = 4.9580e-01 | BER_B2 = 5.0780e-01 | BER_E = 5.0240e-01 | R_s1 = 0.70 | R_s2 = 0.20 | SOP1 = 0.32 | SOP2 = 0.76 | IP1 = 0.28 | IP2 = 0.74
SNR_Bob = 12 dB, SNR_Eve = 20 dB | C_B1 = 11.91 Mbps | C_B2 = 12.38 Mbps | C_E = 21.64 Mbps | BER_B1 = 5.0350e-01 | BER_B2 = 5.0310e-01 | BER_E = 4.9420e-01 | R_s1 = 0.70 | R_s2 = 0.21 | SOP1 = 0.32 | SOP2 = 0.76 | IP1 = 0.28 | IP2 = 0.73
SNR_Bob = 14 dB, SNR_Eve = 0 dB | C_B1 = 15.82 Mbps | C_B2 = 16.19 Mbps | C_E = 26.82 Mbps | BER_B1 = 4.9940e-01 | BER_B2 = 5.0080e-01 | BER_E = 4.9470e-01 | R_s1 = 0.88 | R_s2 = 0.24 | SOP1 = 0.30 | SOP2 = 0.77 | IP1 = 0.27 | IP2 = 0.75
SNR_Bob = 14 dB, SNR_Eve = 2 dB | C_B1 = 16.01 Mbps | C_B2 = 15.88 Mbps | C_E = 26.59 Mbps | BER_B1 = 5.0300e-01 | BER_B2 = 4.9270e-01 | BER_E = 5.0410e-01 | R_s1 = 0.90 | R_s2 = 0.25 | SOP1 = 0.29 | SOP2 = 0.76 | IP1 = 0.26 | IP2 = 0.74
SNR_Bob = 14 dB, SNR_Eve = 4 dB | C_B1 = 15.92 Mbps | C_B2 = 16.11 Mbps | C_E = 26.82 Mbps | BER_B1 = 5.0300e-01 | BER_B2 = 5.0910e-01 | BER_E = 4.9770e-01 | R_s1 = 0.89 | R_s2 = 0.24 | SOP1 = 0.30 | SOP2 = 0.76 | IP1 = 0.27 | IP2 = 0.74
SNR_Bob = 14 dB, SNR_Eve = 6 dB | C_B1 = 15.84 Mbps | C_B2 = 16.09 Mbps | C_E = 26.65 Mbps | BER_B1 = 5.0270e-01 | BER_B2 = 5.0250e-01 | BER_E = 4.9380e-01 | R_s1 = 0.88 | R_s2 = 0.24 | SOP1 = 0.30 | SOP2 = 0.76 | IP1 = 0.26 | IP2 = 0.74
SNR_Bob = 14 dB, SNR_Eve = 8 dB | C_B1 = 15.93 Mbps | C_B2 = 16.12 Mbps | C_E = 26.74 Mbps | BER_B1 = 5.0220e-01 | BER_B2 = 5.1030e-01 | BER_E = 4.8240e-01 | R_s1 = 0.89 | R_s2 = 0.24 | SOP1 = 0.30 | SOP2 = 0.76 | IP1 = 0.27 | IP2 = 0.74
SNR_Bob = 14 dB, SNR_Eve = 10 dB | C_B1 = 15.83 Mbps | C_B2 = 15.97 Mbps | C_E = 26.85 Mbps | BER_B1 = 4.8860e-01 | BER_B2 = 4.9630e-01 | BER_E = 5.0170e-01 | R_s1 = 0.88 | R_s2 = 0.24 | SOP1 = 0.30 | SOP2 = 0.77 | IP1 = 0.27 | IP2 = 0.75
SNR_Bob = 14 dB, SNR_Eve = 12 dB | C_B1 = 15.92 Mbps | C_B2 = 15.90 Mbps | C_E = 26.94 Mbps | BER_B1 = 4.9830e-01 | BER_B2 = 4.9630e-01 | BER_E = 5.0200e-01 | R_s1 = 0.88 | R_s2 = 0.23 | SOP1 = 0.30 | SOP2 = 0.77 | IP1 = 0.27 | IP2 = 0.75
SNR_Bob = 14 dB, SNR_Eve = 14 dB | C_B1 = 15.76 Mbps | C_B2 = 16.02 Mbps | C_E = 26.74 Mbps | BER_B1 = 4.9860e-01 | BER_B2 = 5.0200e-01 | BER_E = 4.9970e-01 | R_s1 = 0.88 | R_s2 = 0.24 | SOP1 = 0.30 | SOP2 = 0.77 | IP1 = 0.27 | IP2 = 0.75
SNR_Bob = 14 dB, SNR_Eve = 16 dB | C_B1 = 15.77 Mbps | C_B2 = 16.02 Mbps | C_E = 26.83 Mbps | BER_B1 = 4.9740e-01 | BER_B2 = 4.9950e-01 | BER_E = 5.0190e-01 | R_s1 = 0.88 | R_s2 = 0.24 | SOP1 = 0.30 | SOP2 = 0.77 | IP1 = 0.27 | IP2 = 0.75
SNR_Bob = 14 dB, SNR_Eve = 18 dB | C_B1 = 15.70 Mbps | C_B2 = 16.12 Mbps | C_E = 26.66 Mbps | BER_B1 = 4.9940e-01 | BER_B2 = 5.0430e-01 | BER_E = 4.9280e-01 | R_s1 = 0.87 | R_s2 = 0.25 | SOP1 = 0.30 | SOP2 = 0.76 | IP1 = 0.27 | IP2 = 0.74
SNR_Bob = 14 dB, SNR_Eve = 20 dB | C_B1 = 15.65 Mbps | C_B2 = 16.15 Mbps | C_E = 26.87 Mbps | BER_B1 = 5.1190e-01 | BER_B2 = 5.0160e-01 | BER_E = 4.9990e-01 | R_s1 = 0.87 | R_s2 = 0.24 | SOP1 = 0.31 | SOP2 = 0.77 | IP1 = 0.28 | IP2 = 0.75
SNR_Bob = 16 dB, SNR_Eve = 0 dB | C_B1 = 19.74 Mbps | C_B2 = 20.55 Mbps | C_E = 32.25 Mbps | BER_B1 = 4.9510e-01 | BER_B2 = 5.0430e-01 | BER_E = 4.9670e-01 | R_s1 = 1.01 | R_s2 = 0.27 | SOP1 = 0.30 | SOP2 = 0.77 | IP1 = 0.28 | IP2 = 0.75
SNR_Bob = 16 dB, SNR_Eve = 2 dB | C_B1 = 19.93 Mbps | C_B2 = 20.35 Mbps | C_E = 31.90 Mbps | BER_B1 = 4.9270e-01 | BER_B2 = 4.9700e-01 | BER_E = 5.0350e-01 | R_s1 = 1.04 | R_s2 = 0.28 | SOP1 = 0.29 | SOP2 = 0.76 | IP1 = 0.27 | IP2 = 0.74
SNR_Bob = 16 dB, SNR_Eve = 4 dB | C_B1 = 19.91 Mbps | C_B2 = 20.37 Mbps | C_E = 31.82 Mbps | BER_B1 = 4.9920e-01 | BER_B2 = 5.0650e-01 | BER_E = 5.0320e-01 | R_s1 = 1.04 | R_s2 = 0.29 | SOP1 = 0.29 | SOP2 = 0.76 | IP1 = 0.27 | IP2 = 0.74
SNR_Bob = 16 dB, SNR_Eve = 6 dB | C_B1 = 19.80 Mbps | C_B2 = 20.21 Mbps | C_E = 31.87 Mbps | BER_B1 = 4.9630e-01 | BER_B2 = 4.9550e-01 | BER_E = 5.0170e-01 | R_s1 = 1.04 | R_s2 = 0.28 | SOP1 = 0.30 | SOP2 = 0.76 | IP1 = 0.28 | IP2 = 0.75
SNR_Bob = 16 dB, SNR_Eve = 8 dB | C_B1 = 19.75 Mbps | C_B2 = 20.21 Mbps | C_E = 32.06 Mbps | BER_B1 = 4.9500e-01 | BER_B2 = 5.0050e-01 | BER_E = 4.9930e-01 | R_s1 = 1.02 | R_s2 = 0.27 | SOP1 = 0.30 | SOP2 = 0.77 | IP1 = 0.27 | IP2 = 0.75
SNR_Bob = 16 dB, SNR_Eve = 10 dB | C_B1 = 19.80 Mbps | C_B2 = 20.21 Mbps | C_E = 31.99 Mbps | BER_B1 = 5.0510e-01 | BER_B2 = 5.0700e-01 | BER_E = 5.0040e-01 | R_s1 = 1.02 | R_s2 = 0.27 | SOP1 = 0.30 | SOP2 = 0.76 | IP1 = 0.27 | IP2 = 0.75
SNR_Bob = 16 dB, SNR_Eve = 12 dB | C_B1 = 19.77 Mbps | C_B2 = 20.19 Mbps | C_E = 32.32 Mbps | BER_B1 = 4.9560e-01 | BER_B2 = 5.0540e-01 | BER_E = 5.0250e-01 | R_s1 = 1.01 | R_s2 = 0.26 | SOP1 = 0.31 | SOP2 = 0.77 | IP1 = 0.28 | IP2 = 0.75
SNR_Bob = 16 dB, SNR_Eve = 14 dB | C_B1 = 19.77 Mbps | C_B2 = 20.39 Mbps | C_E = 31.98 Mbps | BER_B1 = 5.0380e-01 | BER_B2 = 4.9710e-01 | BER_E = 4.8850e-01 | R_s1 = 1.02 | R_s2 = 0.28 | SOP1 = 0.30 | SOP2 = 0.76 | IP1 = 0.27 | IP2 = 0.74
SNR_Bob = 16 dB, SNR_Eve = 16 dB | C_B1 = 19.85 Mbps | C_B2 = 20.40 Mbps | C_E = 32.01 Mbps | BER_B1 = 4.9700e-01 | BER_B2 = 4.9740e-01 | BER_E = 4.9870e-01 | R_s1 = 1.03 | R_s2 = 0.28 | SOP1 = 0.30 | SOP2 = 0.75 | IP1 = 0.27 | IP2 = 0.73
SNR_Bob = 16 dB, SNR_Eve = 18 dB | C_B1 = 19.61 Mbps | C_B2 = 20.33 Mbps | C_E = 32.06 Mbps | BER_B1 = 5.0310e-01 | BER_B2 = 5.0660e-01 | BER_E = 5.0420e-01 | R_s1 = 1.00 | R_s2 = 0.29 | SOP1 = 0.30 | SOP2 = 0.76 | IP1 = 0.27 | IP2 = 0.74
SNR_Bob = 16 dB, SNR_Eve = 20 dB | C_B1 = 19.64 Mbps | C_B2 = 20.24 Mbps | C_E = 32.43 Mbps | BER_B1 = 4.9860e-01 | BER_B2 = 4.9910e-01 | BER_E = 5.0960e-01 | R_s1 = 1.00 | R_s2 = 0.27 | SOP1 = 0.31 | SOP2 = 0.77 | IP1 = 0.28 | IP2 = 0.76
SNR_Bob = 18 dB, SNR_Eve = 0 dB | C_B1 = 24.59 Mbps | C_B2 = 25.00 Mbps | C_E = 37.76 Mbps | BER_B1 = 4.9920e-01 | BER_B2 = 5.0290e-01 | BER_E = 5.0150e-01 | R_s1 = 1.18 | R_s2 = 0.31 | SOP1 = 0.29 | SOP2 = 0.76 | IP1 = 0.27 | IP2 = 0.74
SNR_Bob = 18 dB, SNR_Eve = 2 dB | C_B1 = 24.16 Mbps | C_B2 = 25.16 Mbps | C_E = 37.56 Mbps | BER_B1 = 4.9470e-01 | BER_B2 = 4.9370e-01 | BER_E = 4.9750e-01 | R_s1 = 1.16 | R_s2 = 0.31 | SOP1 = 0.30 | SOP2 = 0.76 | IP1 = 0.28 | IP2 = 0.75
SNR_Bob = 18 dB, SNR_Eve = 4 dB | C_B1 = 24.51 Mbps | C_B2 = 24.99 Mbps | C_E = 37.78 Mbps | BER_B1 = 5.0700e-01 | BER_B2 = 5.0810e-01 | BER_E = 4.8980e-01 | R_s1 = 1.16 | R_s2 = 0.30 | SOP1 = 0.29 | SOP2 = 0.76 | IP1 = 0.27 | IP2 = 0.75
SNR_Bob = 18 dB, SNR_Eve = 6 dB | C_B1 = 24.41 Mbps | C_B2 = 25.02 Mbps | C_E = 37.41 Mbps | BER_B1 = 4.9600e-01 | BER_B2 = 5.0040e-01 | BER_E = 4.9670e-01 | R_s1 = 1.18 | R_s2 = 0.31 | SOP1 = 0.29 | SOP2 = 0.76 | IP1 = 0.27 | IP2 = 0.75
SNR_Bob = 18 dB, SNR_Eve = 8 dB | C_B1 = 24.51 Mbps | C_B2 = 25.04 Mbps | C_E = 37.72 Mbps | BER_B1 = 5.0610e-01 | BER_B2 = 5.0370e-01 | BER_E = 5.0550e-01 | R_s1 = 1.17 | R_s2 = 0.31 | SOP1 = 0.29 | SOP2 = 0.76 | IP1 = 0.27 | IP2 = 0.74
SNR_Bob = 18 dB, SNR_Eve = 10 dB | C_B1 = 24.33 Mbps | C_B2 = 25.05 Mbps | C_E = 37.66 Mbps | BER_B1 = 5.0030e-01 | BER_B2 = 4.9650e-01 | BER_E = 4.9970e-01 | R_s1 = 1.15 | R_s2 = 0.31 | SOP1 = 0.30 | SOP2 = 0.76 | IP1 = 0.28 | IP2 = 0.74
SNR_Bob = 18 dB, SNR_Eve = 12 dB | C_B1 = 24.34 Mbps | C_B2 = 25.14 Mbps | C_E = 37.65 Mbps | BER_B1 = 5.0300e-01 | BER_B2 = 5.0320e-01 | BER_E = 5.0420e-01 | R_s1 = 1.16 | R_s2 = 0.31 | SOP1 = 0.30 | SOP2 = 0.76 | IP1 = 0.28 | IP2 = 0.74
SNR_Bob = 18 dB, SNR_Eve = 14 dB | C_B1 = 24.41 Mbps | C_B2 = 25.17 Mbps | C_E = 37.42 Mbps | BER_B1 = 4.9070e-01 | BER_B2 = 5.0410e-01 | BER_E = 4.9040e-01 | R_s1 = 1.18 | R_s2 = 0.33 | SOP1 = 0.29 | SOP2 = 0.75 | IP1 = 0.27 | IP2 = 0.73
SNR_Bob = 18 dB, SNR_Eve = 16 dB | C_B1 = 24.27 Mbps | C_B2 = 25.01 Mbps | C_E = 37.69 Mbps | BER_B1 = 4.9010e-01 | BER_B2 = 5.0520e-01 | BER_E = 5.0260e-01 | R_s1 = 1.15 | R_s2 = 0.30 | SOP1 = 0.30 | SOP2 = 0.77 | IP1 = 0.28 | IP2 = 0.75
SNR_Bob = 18 dB, SNR_Eve = 18 dB | C_B1 = 24.19 Mbps | C_B2 = 25.10 Mbps | C_E = 37.90 Mbps | BER_B1 = 5.0260e-01 | BER_B2 = 4.9550e-01 | BER_E = 5.0540e-01 | R_s1 = 1.14 | R_s2 = 0.31 | SOP1 = 0.30 | SOP2 = 0.76 | IP1 = 0.28 | IP2 = 0.74
SNR_Bob = 18 dB, SNR_Eve = 20 dB | C_B1 = 23.92 Mbps | C_B2 = 25.13 Mbps | C_E = 37.75 Mbps | BER_B1 = 5.0180e-01 | BER_B2 = 5.0380e-01 | BER_E = 5.0570e-01 | R_s1 = 1.12 | R_s2 = 0.31 | SOP1 = 0.30 | SOP2 = 0.76 | IP1 = 0.28 | IP2 = 0.75
SNR_Bob = 20 dB, SNR_Eve = 0 dB | C_B1 = 29.20 Mbps | C_B2 = 30.57 Mbps | C_E = 43.37 Mbps | BER_B1 = 5.0380e-01 | BER_B2 = 4.9840e-01 | BER_E = 4.9750e-01 | R_s1 = 1.28 | R_s2 = 0.35 | SOP1 = 0.29 | SOP2 = 0.75 | IP1 = 0.28 | IP2 = 0.73
SNR_Bob = 20 dB, SNR_Eve = 2 dB | C_B1 = 29.01 Mbps | C_B2 = 30.13 Mbps | C_E = 43.59 Mbps | BER_B1 = 4.9850e-01 | BER_B2 = 5.0180e-01 | BER_E = 5.0500e-01 | R_s1 = 1.26 | R_s2 = 0.33 | SOP1 = 0.30 | SOP2 = 0.76 | IP1 = 0.28 | IP2 = 0.75
SNR_Bob = 20 dB, SNR_Eve = 4 dB | C_B1 = 29.27 Mbps | C_B2 = 30.10 Mbps | C_E = 43.57 Mbps | BER_B1 = 4.9060e-01 | BER_B2 = 4.9690e-01 | BER_E = 4.9460e-01 | R_s1 = 1.28 | R_s2 = 0.34 | SOP1 = 0.29 | SOP2 = 0.76 | IP1 = 0.27 | IP2 = 0.74
SNR_Bob = 20 dB, SNR_Eve = 6 dB | C_B1 = 29.24 Mbps | C_B2 = 30.60 Mbps | C_E = 43.37 Mbps | BER_B1 = 4.9260e-01 | BER_B2 = 4.9900e-01 | BER_E = 4.9880e-01 | R_s1 = 1.29 | R_s2 = 0.36 | SOP1 = 0.29 | SOP2 = 0.75 | IP1 = 0.27 | IP2 = 0.73
SNR_Bob = 20 dB, SNR_Eve = 8 dB | C_B1 = 29.00 Mbps | C_B2 = 30.31 Mbps | C_E = 43.47 Mbps | BER_B1 = 4.9510e-01 | BER_B2 = 4.9190e-01 | BER_E = 4.9700e-01 | R_s1 = 1.27 | R_s2 = 0.34 | SOP1 = 0.30 | SOP2 = 0.76 | IP1 = 0.28 | IP2 = 0.74
SNR_Bob = 20 dB, SNR_Eve = 10 dB | C_B1 = 29.20 Mbps | C_B2 = 30.15 Mbps | C_E = 43.74 Mbps | BER_B1 = 4.9930e-01 | BER_B2 = 5.0410e-01 | BER_E = 4.9890e-01 | R_s1 = 1.26 | R_s2 = 0.33 | SOP1 = 0.29 | SOP2 = 0.76 | IP1 = 0.27 | IP2 = 0.75
SNR_Bob = 20 dB, SNR_Eve = 12 dB | C_B1 = 29.30 Mbps | C_B2 = 30.35 Mbps | C_E = 43.63 Mbps | BER_B1 = 5.1130e-01 | BER_B2 = 5.0210e-01 | BER_E = 4.9470e-01 | R_s1 = 1.27 | R_s2 = 0.34 | SOP1 = 0.30 | SOP2 = 0.76 | IP1 = 0.28 | IP2 = 0.74
SNR_Bob = 20 dB, SNR_Eve = 14 dB | C_B1 = 29.18 Mbps | C_B2 = 30.22 Mbps | C_E = 43.56 Mbps | BER_B1 = 5.0360e-01 | BER_B2 = 5.0260e-01 | BER_E = 5.0570e-01 | R_s1 = 1.27 | R_s2 = 0.35 | SOP1 = 0.30 | SOP2 = 0.76 | IP1 = 0.28 | IP2 = 0.75
SNR_Bob = 20 dB, SNR_Eve = 16 dB | C_B1 = 28.84 Mbps | C_B2 = 30.18 Mbps | C_E = 43.45 Mbps | BER_B1 = 4.9590e-01 | BER_B2 = 4.9140e-01 | BER_E = 4.9600e-01 | R_s1 = 1.25 | R_s2 = 0.34 | SOP1 = 0.30 | SOP2 = 0.76 | IP1 = 0.28 | IP2 = 0.74
SNR_Bob = 20 dB, SNR_Eve = 18 dB | C_B1 = 29.00 Mbps | C_B2 = 30.00 Mbps | C_E = 43.51 Mbps | BER_B1 = 5.0550e-01 | BER_B2 = 4.9500e-01 | BER_E = 4.9290e-01 | R_s1 = 1.25 | R_s2 = 0.34 | SOP1 = 0.30 | SOP2 = 0.76 | IP1 = 0.28 | IP2 = 0.74
SNR_Bob = 20 dB, SNR_Eve = 20 dB | C_B1 = 28.63 Mbps | C_B2 = 30.25 Mbps | C_E = 43.54 Mbps | BER_B1 = 4.9840e-01 | BER_B2 = 4.8990e-01 | BER_E = 5.0380e-01 | R_s1 = 1.23 | R_s2 = 0.35 | SOP1 = 0.31 | SOP2 = 0.76 | IP1 = 0.29 | IP2 = 0.74
