
===== KỊCH BẢN 2: Multi-user NOMA, quét SNR_Eve (Eve chủ động gây nhiễu) =====
==== THÔNG SỐ HỆ THỐNG KỊCH BẢN 2 ====
Công suất truyền P_A: 1 W
Nhiễu nền N_0: 3.98e-17 W
Hệ số suy hao alpha: 3
Băng thông: 10.0 MHz
Khoảng cách: Bob1 = 50m, Bob2 = 100m, Eve = 70m
Phân bổ công suất: alpha1 = 0.111, alpha2 = 0.889 (tổng = 1.000)
Tỷ lệ lỗi SIC: epsilon = 0.001
============================

SNR_Bob = 2 dB, SNR_Eve = 4 dB | C_B1 = 2.22 Mbps | C_B2 = 2.20 Mbps | C_E = 5.34 Mbps | BER_B1 = 5.0880e-01 | BER_B2 = 5.0490e-01 | BER_E = 5.0010e-01 | R_s1 = 0.16 | R_s2 = 0.05 | SOP1 = 0.52 | SOP2 = 0.84 | IP1 = 0.27 | IP2 = 0.75
SNR_Bob = 2 dB, SNR_Eve = 6 dB | C_B1 = 2.17 Mbps | C_B2 = 2.18 Mbps | C_E = 5.34 Mbps | BER_B1 = 4.9510e-01 | BER_B2 = 4.9980e-01 | BER_E = 5.0080e-01 | R_s1 = 0.15 | R_s2 = 0.05 | SOP1 = 0.53 | SOP2 = 0.84 | IP1 = 0.27 | IP2 = 0.74
SNR_Bob = 2 dB, SNR_Eve = 8 dB | C_B1 = 2.16 Mbps | C_B2 = 2.20 Mbps | C_E = 5.39 Mbps | BER_B1 = 4.9550e-01 | BER_B2 = 4.9800e-01 | BER_E = 4.9380e-01 | R_s1 = 0.15 | R_s2 = 0.05 | SOP1 = 0.53 | SOP2 = 0.84 | IP1 = 0.28 | IP2 = 0.74
SNR_Bob = 2 dB, SNR_Eve = 10 dB | C_B1 = 2.20 Mbps | C_B2 = 2.21 Mbps | C_E = 5.32 Mbps | BER_B1 = 5.0640e-01 | BER_B2 = 4.9750e-01 | BER_E = 4.9800e-01 | R_s1 = 0.15 | R_s2 = 0.05 | SOP1 = 0.52 | SOP2 = 0.84 | IP1 = 0.26 | IP2 = 0.74
SNR_Bob = 2 dB, SNR_Eve = 12 dB | C_B1 = 2.19 Mbps | C_B2 = 2.19 Mbps | C_E = 5.30 Mbps | BER_B1 = 4.9110e-01 | BER_B2 = 4.9460e-01 | BER_E = 5.0300e-01 | R_s1 = 0.15 | R_s2 = 0.05 | SOP1 = 0.52 | SOP2 = 0.84 | IP1 = 0.27 | IP2 = 0.74
SNR_Bob = 2 dB, SNR_Eve = 14 dB | C_B1 = 2.17 Mbps | C_B2 = 2.19 Mbps | C_E = 5.30 Mbps | BER_B1 = 4.9970e-01 | BER_B2 = 5.0220e-01 | BER_E = 5.0410e-01 | R_s1 = 0.15 | R_s2 = 0.05 | SOP1 = 0.53 | SOP2 = 0.83 | IP1 = 0.27 | IP2 = 0.74
SNR_Bob = 2 dB, SNR_Eve = 16 dB | C_B1 = 2.17 Mbps | C_B2 = 2.20 Mbps | C_E = 5.35 Mbps | BER_B1 = 4.9860e-01 | BER_B2 = 5.0250e-01 | BER_E = 4.9820e-01 | R_s1 = 0.15 | R_s2 = 0.05 | SOP1 = 0.53 | SOP2 = 0.84 | IP1 = 0.27 | IP2 = 0.74
SNR_Bob = 2 dB, SNR_Eve = 18 dB | C_B1 = 2.16 Mbps | C_B2 = 2.21 Mbps | C_E = 5.36 Mbps | BER_B1 = 5.0310e-01 | BER_B2 = 4.9570e-01 | BER_E = 5.0140e-01 | R_s1 = 0.15 | R_s2 = 0.05 | SOP1 = 0.53 | SOP2 = 0.83 | IP1 = 0.28 | IP2 = 0.74
SNR_Bob = 2 dB, SNR_Eve = 20 dB | C_B1 = 2.13 Mbps | C_B2 = 2.19 Mbps | C_E = 5.28 Mbps | BER_B1 = 5.0430e-01 | BER_B2 = 4.9950e-01 | BER_E = 4.9810e-01 | R_s1 = 0.15 | R_s2 = 0.05 | SOP1 = 0.53 | SOP2 = 0.84 | IP1 = 0.27 | IP2 = 0.74
SNR_Bob = 4 dB, SNR_Eve = 0 dB | C_B1 = 3.31 Mbps | C_B2 = 3.29 Mbps | C_E = 7.46 Mbps | BER_B1 = 4.9710e-01 | BER_B2 = 4.9690e-01 | BER_E = 4.9190e-01 | R_s1 = 0.23 | R_s2 = 0.07 | SOP1 = 0.44 | SOP2 = 0.81 | IP1 = 0.26 | IP2 = 0.74
